Titulo,Descricao
Gerente de Logística e Suprimentos de Obras,"Descrição
Descrição: Descrição das Atividades:
Estabelecer a equipe, as metodologias e implantar as ferramentas de gestão da frota de máquinas e veículos pesados da empresa, maximizando sua disponibilidade e minimizando su custo operacional;
Realizar a gestão de frota de máquinas e veículos pesados da empresa (Linha Amarela);
Realizar a gestão centralizada dos demais ativos (Contêineres, tendas, ferramentas e instrumentos mobiliários);
Planejar expansão da frota e da base de ativos realizando análises do tipo compra x locação;
Elaborar metodologias de cálculo de custos operacionais e outros indicadores pertinentes à gestão dos ativos;
Desenvolver modelo de ""locação interna"" para a operação da área.
Idiomas:Inglês - Nível AvançadoOutros requisitos: Requisitos
Experiência com gestão de frota de veículos e equipamentos;
Vivência com manutenção (preventiva/corretiva/preditiva);
Gestão de equipes / Gestão de compras;
Gestão de ativos de Linha Amarela;
Experiência prévia em compras."
Auxiliar Administrativo de Logística - Inventário,"Descrição
Realizar atividades do setor administrativo, atendimento telefônico, auxilio no atendimento a colaboradores, suporte à área de logística de inventários.
Controle de Notas Fiscais, planilhas de controle em Excel.
 Ter experiência na área administrativa, conhecimento avançado de Excel, e informática, ser pró-ativo.
Ensino médio completo.
 Trabalhar na região da Vila Leopoldina
Trabalhar de Segunda a Sábados das 08:00 às 17:00 hs."
Gerente de Logística - Belo Horizonte,"Descrição
Requisitos obrigatórios: • Ensino Superior Completo em Logística, Comércio Exterior ou áreas afins; • Experiência com gestão de pessoas; • Vivência com comércio exterior, importação e exportação; • Inglês avançado; • Excel avançado; • Disponibilidade para viagens.
 
Requisitos desejáveis: • Vivência na gestão de almoxarifados; • Experiência na área da aviação.
 
Atividades:  • Gerenciar os processos de importação, exportação, distribuição e transferência de aeronaves e peças aeronáuticas junto aos órgãos governamentais anuentes; • Acompanhamento do controle dos Almoxarifados da empresa;• Propor melhorias para os processos sob sua responsabilidade; • Elaborar e acompanhar os indicadores de desempenho da área, efetuando considerações sobre resultados obtidos.  Oferecemos: • Salário compatível com o mercado • Benefícios:  Vale transporte; Vale refeição; Assistência médica; Assistência odontológica; Plano de previdência privada; Participação nos lucros após o primeiro ano de empresa.  ""Vaga destinada também para pessoas com deficiência conforme lei 8.231/91."""
Assistente Administrativo - Gestão de Indicadores,"Descrição
Descrição: Dados da vaga em aberto:Horário de trabalho: segunda a sexta, das 08:00 às 17:00 - regime presencialLocal de trabalho: São Paulo/SP - região centralPrincipais atividades:
Conferência de relatórios de indicadores;
Levantamento e elaboração dos indicadores assistenciais;
Validação de dados das plataformas de informações;
Elaboração de planilhas em Excel, utilizando fórmulas de análise de dados e gráficos;
Disponibilização das informações aos gestores.
Necessário ter:
Ensino superior em andamento em Administração Hospitalar, Gestão Hospitalar ou áreas correlatas;
Experiência anterior com levantamento e validação de indicadores na área hospitalar;
Conhecimento no sistema MV;
Conhecimento avançado em Excel.
Outros requisitos: Diferencial conhecimento em Power BI."
Gerente Administrativo e RH,"Descrição
Descrição: Será responsável pela gerenciamento de Recursos Humanos e Administração de Pessoal, com atuação em todos os subsistemas envolvidos:Marketing e ComunicaçãoComprasFacilitiesTISegurança do Trabalho / SesmtFinanças - suporteOutros requisitos: Superior completoDesejável especialização / pós-graduação em áreas afinsExperiência em indústrias de médio /grande porte, com atuação generalista.Pacote Office.Residir na região de Volta Redonda."
Chefe Administrativo/encarregado Administrativo,"Descrição
Descrição: 
Responsável pela gestão administrativa do canteiro de obras;
Realizar mobilização e desmobilização da obra;
Adequar as atividades administrativas no canteiro de obras de acordo com os procedimentos da Sede e do Cliente.
Outros requisitos: 
Formação Superior ou Tecnólogo completo em Administração ou áreas afins; 
Experiência em obras de construção pesada;
Conhecimento nas áreas: suprimentos, departamento pessoal, financeira e serviços administrativos em geral;
Experiência em mobilização e desmobilização de obras;
Conhecimento sobre legislação trabalhistas e convenções coletivas da área;
Disponibilidade de mudança; 
Desejável conhecimento em SAP."
Auxiliar de Operações Logísticas - Auxiliar Logístico,"Descrição
Descrição: Empresa de grande porte no segmento logístico contrata: Auxiliar Logístico para atuar com Separação, organização, recebimento de mercadorias, abastecimento, movimentação interna.Outros requisitos: - Ensino médio cursando ou completo- Desejável experiência operacional em logística- Disponibilidade de Horário;- Disponibilidade para contrato temporário."
Assistente Administrativo de Comércio Exterior/logística,"Descrição
Descrição: O profissional irá trabalhar com o envio diário de materiais para as unidades da empresa no Brasil e no exterior. Irá trabalhar com a emissão de notas fiscais de remessa/transferência, operações de câmbio, pagamentos e recebimentos prestando suporte ao setor de Logística e Comércio Exterior.Idiomas:Inglês - Nível AvançadoOutros requisitos: Graduação em Administração, Logística ou Comércio Exterior;Inglês avançado;Não é necessário experiência anterior na função, haverá treinamento prévio."
Analista de Gestão de Energia Pleno (gestão de Geradores),"Descrição
Descrição: Acompanhamento de Regras, Procedimentos, Resoluções, Portarias e demais comunicados relacionadas ao Setor Elétrico. Atuar no desenvolvimento de estudos de novas regulamentações e regras de mercado para os ativos de geração, elaboração e acompanhamento do balanço energético das usinas, monitorar a matriz de descontos , lastro de energia e garantias financeiras das Empresas do Grupo preservando os termos dos contratos com os clientes externos. Relacionamento das Empresas do Grupo junto à CCEE, garantindo o cumprimento das regras de comercialização, realizar a modelagem de ativos na CCEE: manutenção das usinas existentes, bem como a de novas usinas do Grupo, a Interface junto as áreas internas da empresa. Atuar no controle de obrigações contratuais (flex, sazo, reajustes e garantias), desenvolvimento de relatórios gerenciais. Interface entre clientes e órgãos setoriais como: MME, ANEEL, ONS, CCEE, distribuidoras.				Outros requisitos: Graduação em Engenharia, Administração de Empresas ou Economia.			Especialização na área (MBA, pós-graduação)."
"Administração de Empresas, Gestão de Processos, Gestão de Negócios, Gestão RH - Instituto Via de Acesso","Descrição
 Requisitos imprescindíveis:

Cursando Administração de Empresas, Tecnologia em Gestão de Processos, Gestão de Negócios e Gestão de RH com formação prevista entre 12/2023 e 12/2024;
Estudar no período noturno;
Desejável conhecimento intermediário em Excel.

 
Área de atuação e Atividades: RH - Operação:

Suporte administrativo à área de Recrutamento & Seleção de Estagiários;
Apoio no envio de documentos aos clientes;
Apoiar nas respostas de dúvidas das empresas e candidatos;
Preenchimento de informações em sites específicos;
Organização e manutenção do arquivo digital dos documentos do setor;
Auxiliar no envio de comunicados às empresas;
Elaboração de relatórios diversos;
Auxílio nos controles administrativos do departamento;
Auxílio nas rotinas operacionais da área de Contratos

 
Benefícios:

Bolsa-estágio: R$1.300,00
Vale Alimentação de R$ 210,00 ao mês (sem desconto);
Auxílio Transporte 
Assistência Médica Intermédica (sem desconto);
Assistência Odontológica (opcional);
Seguro de acidentes pessoais

 
Horário:

Das 9h às 16h com uma hora de almoço

 
Local de estágio:

Cerqueira Cesar - próximo à estação de Metrô Brigadeiro (Linha Verde)

Atividades em HOME OFFICE 
 
Processo Seletivo de forma remota - WhatsApp, E-mail e Teams
 
Fases do Processo Seletivo:

Candidatura
Triagem de currículo
Provas online
Questionário Psicoprofissional
Entrevista individual com RH (Via de Acesso)
Entrevista com o Gestor (Via de Acesso)"
Analista de Logística,"Descrição
Descrição: Principais atividades
Planejar as necessidades, compras de materiais para atender a programação de produção e abastecimento à fábrica, visando garantir o fluxo de abastecimento.
Inserção do pedido de compras no sistema, adequar os níveis de estoques conforme flutuação de demandas.
Elaborar e monitorar as projeções de estoques identificando riscos de ruptura e excessos, propondo plano de ação quando necessário.
Realizar follow up constante com os fornecedores e parceiros logísticos visando garantir que os pedidos cheguem no prazo.
Acompanhar tramite de desembaraço aduaneiro, liberação alfandegária e transporte para a fábrica, de forma a garantir a continuidade dos processos de produção
Garantir que inputs de áreas como compras, pcp, importação, engenharia, qualidade, produção, almoxarifado e recebimento de materiais estejam corretos, de forma que a base das informações analisadas pelo setor seja efetiva, evitando que falhas internas sejam repassadas para fornecedores e demais áreas.
Forte participação em projetos de melhoria, incluindo simplificação de processos atuais, inovação para melhoria e realização de KPI, redução de custo e fluxo logístico otimizado.
Atuar nas análises de inventário de seus itens, parametrizando corretamente o MRP para evitar overstock.
Pré requisitos•	Formação em Engenharia, Administração, Relações Internacionais e/ou afins;•	Conhecimentos em planilhas e ferramentas de análise de banco de dados, especificamente MS Excel e Power BI;•	Conhecimento em SAP Módulo MM/PP;•	Experiência relacionada à Cadeia de Suprimentos e Planejamento de Demanda;•	Desejável Noção de comércio exterior;•	Inglês avançado.Idiomas:Inglês - Nível AvançadoOutros requisitos: Boa Comunicação;Boa capacidade analítica;Dinâmismo."
Gerente de E-commerce,"Descrição
Descrição: 
Gestão das demandas diárias do setor de e-commerce;
Manutenção de promoções e seleção de banners das campanhas comerciais;
Administração das vitrines do site baseado em informações estratégicas;
Acompanhar indicadores de comércio eletrônico como receita, taxa de conversão, ticket médio, taxa de rejeição e ROAS;
Elaborar estratégias digitais em conjunto com Marketing para alavancar vendas;
Elaborar campanhas comerciais para manutenção e reativação de clientes;
Gerenciar investimentos em mídia paga;
Gerenciar melhorias e campanhas de SEO.
Outros requisitos: 
Graduação completa em Marketing, Comunicação, TI ou áreas correlatas;
Experiência na área de e-commerce;
Experiência em gestão de lojas virtuais;
Experiência em gerenciar verbas para campanhas de mídia paga;
Conhecimento em análise de dados em Google Adwords, Google Analytics e Facebook Ads;
Necessário ter domínio na análise de indicadores comerciais virtuais para elaboração de relatórios e projetos de crescimento"
Gerente Comercial II,"Descrição
Já imaginou ser um Porto Seguro para mais de 10 milhões de clientes? 
Aqui na Porto Seguro, oferecemos uma experiência excelente para todas as pessoas, mantendo sempre o cuidado em nossas relações e buscando a transformação em todos os nossos caminhos: sejam no negócio, no dia-dia, nas pessoas ou em nossas carreiras.
O time é grande, são 13 mil funcionários,16 mil prestadores e 35 mil corretores parceiros. 
Mas grande também, é o nosso cuidado com o impacto que geramos na sociedade, por isso temos muito orgulho de nossos projetos socioambientais, como o Porto Voluntário (ajudando mais de 144 ONGs no Brasil) e o Instituto Porto Seguro. 
Além disso, somos formados por 28 empresas que atuam nos mais diversos ramos como seguros, produtos financeiros, serviços de emergência e conveniência, monitoramento, plano de saúde para Pets, entre outros. 
Sim, vamos muito além do seguro!
Venha fazer parte de tudo isso em um ambiente que preza pela valorização e o cuidado com as pessoas, venha trilhar sua carreira aqui na Porto Seguro!
 
Qual a missão da área:
Prospectar, desenvolver, incentivar, treinar e acompanhar o desempenho dos corretores na região de Niterói e Centro do RJ, buscando estabelecer a fidelização dos corretores, contribuir para o crescimento da carteira de negócios, bem como atingir os objetivos de faturamento e rentabilidade preestabelecidos para a Sucursal.
O que você precisa para fazer parte deste time:  
 
Superior Completo;
Experiência no atendimento comercial e gestão de carteira de corretores;
Ser Empreendedor, ousado, criativo, apresentar com soluções para desenvolver o corretor para ampliar carteira de clientes.
Seus principais desafios serão: 
Atender e desenvolver uma carteira de corretores no Rio e Niterói, em todos os segmentos que temos no Portfólio da Porto.
Estimular a obtenção de novos negócios, assim como manter a carteira de clientes, mediante o desenvolvimento de ações para incrementar a produção junto aos corretores, realizando visitas e esclarecendo dúvidas, ministrando treinamento sobre os produtos aos corretores, identificando as causas e propondo alternativas em casos de baixos desempenhos de vendas.
Contribuir para a consolidação da imagem institucional da companhia junto aos corretores, através de treinamentos, utilizando manuais e programas dos produtos da empresa, apresentação de procedimentos e rotinas, bem como o esclarecimento de dúvidas sobre as características e pontos fortes dos produtos comercializados.
Identificar oportunidades de atuação no mercado, bem como informar às área técnicas da companhia, através do acompanhamento da movimentação do mercado e da concorrência, elaboração de cálculos comparativos de preços e identificação de particularidades dos produtos.
Contribuir para a identificação e correção das possíveis distorções na produção, mediante o acompanhamento e controle dos resultados da Sucursal por corretor.
Contribuir para a maximização dos negócios da companhia, através do desenvolvimento de novos corretores, apresentando a empresa, produtos, política e outras informações, assim como verificando o potencial das corretoras e definindo quais os produtos a serem operados, conforme o potencial de cada corretora.
Manter os dirigentes informados dos negócios realizados, mediante a elaboração de relatórios das atividades de produção, contendo informações de visitas, renovações pendências, perdas, novas conquistas e outros.
 
Um pouco sobre nós:
Nos modelos de trabalho presencial, adotamos o “Vem como se sente bem"" pra você ser você mesmo e se vestir como se sente bem.
A Porto possui um Programa de Diversidade e Inclusão (Juntos). Queremos continuar construindo um espaço seguro e livre para ser quem somos. Valorizamos a diferença e incentivamos a aplicação de pessoas com perfis diversos.
Venha fazer parte!
O nosso jeito Porto Seguro de agir para fazer a diferença na vida das pessoas.
Nossa forma de agir é o nosso principal diferencial, por isso, para fazer parte do time procuramos pessoas com:
Visão integrada - Ser curioso para buscar e compartilhar conhecimentos e informações.
Desprendimento - Estar aberto à mudanças, ao novo e ao desconhecido, se adaptando às diferentes adversidades e encontrando novas formas de fazer acontecer.
Criatividade - Buscar continuamente novas soluções e alternativas para processos, serviços, produtos e clientes.
Coragem - Manter atitudes pró ativas no ambiente de trabalho, ser responsável por suas ações e protagonista do seu desenvolvimento.
Capacidade de Entrega - Compreender o objetivo a ser alcançado, planejar e executar as tarefas com qualidade e pontualidade.
Parceria - Ser colaborativo, promover feedbacks constantes, contribuir para o desenvolvimento e aprendizado individual e coletivo.
Nossos benefícios e local de trabalho:
Auxílio creche ou babá, para o seu bem mais precioso ser muito bem cuidado!
Vale Alimentação e Refeição: Seu VR e VA são Flex, para que você atenda sua necessidade;
Vale-Transporte: Para nos encontrarmos na Companhia.
Plano Odontológico: Pra você dar aquele sorrisão bonito.
Plano de Saúde: É importante se cuidar e estar bem.
Seguro de Vida: Pra cuidarmos do nosso bem maior: nossos PortoLovers.
Participação nos Lucros: Pois você é a peça chave do nosso sucesso.
Previdência Privada: Para garantir um futuro tranquilo para você!
Desconto em Produtos e Serviços: Porque nossos PortoLovers também merece ter os melhores serviços do mercado!
Bolsa de estudos
Cursos de Idiomas
Gympass"
Gerente Financeiro,"Descrição
Descrição: Se você tem experiência como Gestor(a) da área Financeira, é determinado, está sempre em busca de excelentes resultados, inovação e melhoria continua, e tem muita disposição para encarar os desafios, confira a vaga de Gerente Financeiro, para atuar na cidade de Araraquara-SP.
 
SEGMENTO DE ATUAÇÃO DA EMPRESA:
Transporte e logística
 
O QUE ESTAMOS BUSCANDO:
- Ensino superior concluído nas áreas de Administração, Economia ou Contabilidade
- Pós-graduação ou MBA - Desejável na área financeira
- Conhecimento avançado nas ferramentas do pacote Office e em matemática financeira
- Experiência anterior em contabilidade e gestão financeira de operações de transporte e logística será considerado diferencial
- Experiência com mercado financeiro
 
 
ALGUNS DOS SEUS DESAFIOS:
- Relacionamento com instituições financeiras
- Realizar captação e aplicação de recursos
- Gerir tesouraria, fluxo de caixa e faturamento
- Gerir os indicadores financeiros do negócio
- Apoiar a elaboração e assegurar a execução do planejamento financeiro
- Assessorar atividades de investimento e estratégias financeiras
 
 
DEMAIS INFORMAÇÕES:
- Contratação PJ
- Trabalho presencial
- Salário fixo + bônus anual de acordo com apuração dos resultados da empresa"
Supervisor de Logística,"Descrição
Descrição: Que tal se juntar a uma empresa que não para de crescer e que tem a inovação como um dos seus pilares estratégicos? É isso que a Araujo tem a oferecer para você: a oportunidade de fazer parte da rede de drogarias que tem o maior faturamento por loja do país e é a marca mais lembrada entre os mineiros. 
 
Vem ser Araujo!
 
Como será o seu dia:
 
- Gestão de operações logísticas do Centro de Distribuição (estoque, inventário, conferência, separação, gestão de perdas). 
 
- Elaboração de controles, indicadores de performance e relatórios gerenciais, utilizando ferramentas como método PDCA.
 
- Melhoria de processos, aplicação Kaizen e 5s. 
 
- Liderança e desenvolvimento do time do terceiro turno. 
 
- Liderança, direção, avaliação da equipe assegurando que todos os recursos sejam utilizados de forma eficaz e os cronogramas e as metas de trabalho sejam cumpridas.
 
 
O que você precisa:
 
- Experiência com gestão de pessoas. 
 
- Conhecimento em metodologias de melhoria de processos.
 
- Interesse em atuar no T3. 
 
- Experiência com operações logística de CD. 
 
- Excel intermediário. 
 
 
Vamos conversar? Envie seu currículo!"
Gerente de Vendas,"Descrição
Descrição: Elaborar e analisar estratégias de vendas; Garantir a gestão de pessoas, levantandonecessidades de treinamento e capacitação, rotinas diárias, feedbacks, a fim de manter aequipe motivada, em desenvolvimento e aderente a cultura corporativa; Buscar modelosnovos e criativos de prospecção de clientes; Apresentar indicadores da área e um plano deação para a gerência e diretoria."
Gerente de TI,"Descrição
Descrição: Gerir divisão de TI, com todas as áreas envolvidas Contribuir para o avanço da área, sobretudomelhoria da infraestrutura e redes Atuar com a gestão de projetos SAP Atuar com ambiente deservidores virtuais Reportar para matriz na Europa Gerir equipe no Brasil e na Colômbia Atuarde maneira corporativa, com todas as unidades produtivas da empresa"
Analista de Gestão Pleno,"Descrição
Descrição: O que você precisa ter ou saber?Ensino Superior Completo em Administração, Engenharias, Economia ou áreas da Tecnologia da Informação.Soft Skills:- Capacidade de análise e síntese;- Habilidade de comunicação e apresentação;- Habilidade de articulação com os diversos públicos. Hard Skills:- Métodos de gestão com foco no desdobramento da estratégia;- Métodos e ferramentas de análise e solução de problemas;- Excel e Power Point avançado.O que é desejável?- Experiência em definição e estruturação de indicadores de desempenho, gerenciamento dos resultados, elaboração de plano de ação, mapeamento de processos e análise de dados;- Experiência em Power BI.Como será seu dia a dia?- Auxiliar no processo de definição, desdobramento e monitoramento de metas, garantindo conformidade com as práticas de gestão por resultados;- Elaboração de materiais para reuniões de desempenho gerencial e capacitação das áreas de interface sobre as práticas de gestão por resultados.Quais serão seus desafios?Além de suportar o processo de Gestão por Resultados, deverá atuar no desenvolvimento e implementação de soluções para melhoria e controle do processo de gestão por resultados.Sobre a área?A Gerência de Planejamento Estratégico e Gestão por Resultados é responsável por estruturar os processos de direcionamento estratégico, dando suporte nas decisões estratégicas da empresa através de avaliação de novos negócios, estudo de pré-projeto, projeções financeiras, gestão de indicadores estratégicos. Implementar a estratégia através do desdobramento de metas corporativas e coordenação da aplicação de metodologias de gestão e qualidade, visando contribuir para a melhoria contínua dos processos e resultados que suportem o crescimento sustentável da empresa.A Coordenação de Gestão por Resultados é responsável pelo desdobramento de metas que sustentam a estratégia da empresa."
Assistente de Logística,"Descrição
Descrição: Será responsável pelo atendimento ao cliente, programação de coletas e entregas, follow-up diário de entregas, elaboração e atualização de relatórios e planilhas de controle interno, elaboração e organização de documentos de transportes e contratação de fretes. Outros requisitos: Desejável conhecimento em Excel e Ensino Superior cursando em Logística ou Administração."
Assistente Administrativo,"Descrição
Requisitos:
 
- Curso Técnico/Graduação em administração, contabilidade ou áreas afins (cursando ou completo);
- Sólida experiência em toda a rotina administrativa, compras, contabilidade ou áreas afins;
- Inglês básico
- CNH Categoria B;
- Domínio de Pacote Office;
- Disponibilidade para viagens."
